time,KD,K,D,Bias,MACD,DIF,OSC,MFI,highPrice,increasePercent
090540,-24.73866153467999,19.372385342451878,44.11104687713187,1.787528894993963e-14,,,,38.42546087218183,79.7,0.0025157232704402874
090550,1.4248066785573599,46.24825689496791,44.82345021641055,0.11739057521383692,,,,33.48132661994799,79.7,0.001256281407035283
090600,12.894702920156476,64.16550459664526,51.27080167648879,0.10899639473466172,,,,30.759988093372414,79.7,0.001256281407035283
090610,16.559689814183145,76.1103363977635,59.55064658358036,0.10060362173041594,,,,19.221111520485536,79.7,0.001256281407035283
090620,16.348607343285764,84.073557598509,67.72495025522323,0.0964077629207735,,,,19.221111520485536,79.7,0.001256281407035283
090630,14.438280984744068,89.38237173233932,74.94409074759525,0.09221225584713658,-5.60316640301749,-3.067393268097021,2.5357731349204693,19.221111520485536,79.7,0.001256281407035283
090640,11.984993604865096,92.92158115489288,80.93658755002778,0.08801710046527832,-5.043207995104393,-2.803374363452008,2.2398336316523855,19.221111520485536,79.7,0.001256281407035283
090650,-12.659244520066125,61.94772076992858,74.6069652899947,-0.03772161448504781,-4.5566410546893765,-2.610373293029312,1.9462677616600645,18.399162291654108,79.7,0.0025157232704402874
090700,0.01656570441623728,74.63181384661905,74.61524814220282,0.08382229673096142,-4.1381194080627335,-2.4640328215561595,1.674086586506574,19.878636642261412,79.7,0.001256281407035283
090710,5.648418503695481,83.08787589774603,77.43945739405055,0.07962784460000967,-3.78212263022066,-2.3581355188523645,1.4239871113682954,17.457044044017067,79.7,0.001256281407035283
090720,7.523862136297879,88.72525059849735,81.20138846219947,0.07543374402820056,-3.483170518598778,-2.28736207211125,1.1958084464875278,16.45391827067168,79.7,0.001256281407035283
090730,7.521407957865833,92.48350039899823,84.9620924411324,0.07123999497131903,-3.2355191850679765,-2.2449138509447693,0.9906053341232073,16.45391827067168,79.8,0.002512562814070388
090740,6.684605216577609,94.98900026599881,88.3043950494212,0.06285355122567643,-3.033443647752317,-2.225141498489677,0.8083021492626399,16.45391827067168,79.8,0.002512562814070388
090750,5.569958974163114,96.65933351066587,91.08937453650276,0.17596782302668307,-2.8700808575543273,-2.216629696762368,0.6534511607919593,17.383729746001677,79.8,0.0012547051442910202
090800,4.45567631373855,97.77288900711058,93.31721269337203,0.16337815759713226,-2.74036190443428,-2.221486091954091,0.5188758124801889,15.37103904447639,79.8,0.0012547051442910202
090810,3.465364429801113,98.5152593380737,95.04989490827259,0.15079165619508325,-2.64008784513185,-2.238991607922131,0.4010962372097193,13.506312481521334,79.8,0.0012547051442910202
090820,2.640185322517695,99.01017289204913,96.36998756953143,0.1382083176279135,-2.5653118582337227,-2.2662079106412136,0.299103947592509,13.506312481521334,79.8,0.0012547051442910202
090830,1.9800851278897795,99.34011526136608,97.3600301334763,0.12982118179161073,-2.5123939310514336,-2.3007222223222783,0.2116717087291553,13.506312481521334,79.8,0.0012547051442910202
090840,1.4666978049562829,99.56007684091071,98.09337903595443,0.12143545077683629,-2.4780273492018288,-2.34056102180341,0.1374663273984189,13.506312481521334,79.8,0.0012547051442910202
090850,1.0755592386573625,99.70671789394046,98.6311586552831,0.1172431119672439,-2.4592453643859455,-2.3841174251224118,0.07512793926353378,13.506312481521334,79.8,0.0012547051442910202
090900,0.7822132937848068,99.8044785959603,99.0222653021755,0.11305112423068218,-2.4534143138592235,-2.4300901117523352,0.023324202106888237,13.506312481521334,79.9,0.0025094102885822186
090910,0.5649247300875828,99.86965239730687,99.30472766721928,0.10885948752308967,-2.4582178496037104,-2.477431992581657,-0.019214142977946658,13.506312481521334,79.9,0.0025094102885822186
090920,-21.816639601565356,66.57976826487123,88.39640786643659,0.10466820180034071,-2.471635698742097,-2.525307095295645,-0.0536713965535478,13.506312481521334,79.9,0.0025094102885822186
090930,-29.33993045990384,44.38651217658082,73.72644263648466,0.10047726701838855,-2.4919194348391493,-2.573054379227358,-0.08113494438820856,13.506312481521334,79.9,0.0025094102885822186
090940,-29.42362301250941,29.59100811772055,59.01463113022996,0.09628668313312233,-2.517567026200662,-2.620157391646714,-0.10259036544605182,13.506312481521334,79.9,0.0025094102885822186
090950,-3.9693060344997306,53.06067207848036,57.02997811298009,0.2134873791284892,-2.545951236408734,-2.659488077241022,-0.1135368408322881,13.79962351633155,79.9,0.0012531328320803073
091000,7.784757737337877,68.7071147189869,60.922356981649024,0.205098154116587,-2.5761069786412216,-2.6967299475711712,-0.12062296892994961,12.897654804485228,79.9,0.0012531328320803073
091010,12.143812998450386,79.1380764793246,66.99426348087421,0.1925169498618576,-2.6077139186536678,-2.734141678703452,-0.12642776004978407,11.843027264774179,79.9,0.0012531328320803073
091020,12.731858336894788,86.09205098621639,73.3601926493216,0.1799389044649389,-2.6404231643522187,-2.771260147146421,-0.13083698279420242,11.843027264774179,79.9,0.0012531328320803073
091030,11.578560894326216,90.72803399081093,79.14947309648471,0.16736401673633855,-2.6743324192074462,-2.8099694386283574,-0.1356370194209111,11.567927480655541,79.9,0.0012531328320803073
091040,9.779477487148384,93.81868932720728,84.0392118400589,0.1547922854871078,-2.708467850247997,-2.8450095744101986,-0.13654172416220156,11.249819495537352,79.9,0.0012531328320803073
091050,7.893276252052857,95.87912621813818,87.98584996608533,0.14641288433375949,-2.742575580903393,-2.879006503524977,-0.13643092262158385,10.978679400128684,80.0,0.002506265664160437
091100,6.177933897337866,97.25275081209212,91.07481691475425,0.1380348851800185,-2.7764201999401834,-2.9117986760873436,-0.13537847614716014,10.978679400128684,80.0,0.002506265664160437
