time,KD,K,D,Bias,MACD,DIF,OSC,MFI
090540,-1.772861712548064,24.4353609997314,26.208222712279465,-0.40283372690650376,,,,32.046319551302716
090550,6.721345302805297,36.290240666487406,29.56889536368211,-0.26392554521461004,,,,33.72990886978785
090600,14.194176720428807,50.86016044432532,36.66598372389651,-0.1296416334845824,,,,31.072181430208317
090610,15.93830438154717,60.57344029621726,44.63513591467009,-0.1296416334845824,,,,28.459641912722716
090620,14.942549521872309,67.04896019747855,52.10641067560624,-0.12501736352271622,,,,19.724897135386996
090630,8.395264081808406,64.69930679831884,56.30404271651044,-0.2500694637399569,-5.718275303676336,-3.4290684595425063,2.2892068441338296,18.989147557672155
090640,7.88588565491213,68.13287119887863,60.2469855439665,-0.23620953174936207,-5.2120025734094355,-3.186911652341834,2.0250909210676014,17.94292682360937
090650,12.338841281301725,78.75524746591908,66.41640618461736,-0.08800778174070023,-4.769487275089807,-2.9994260818112934,1.7700611932785133,19.84901496568564
090700,7.391394750663196,77.50349831061213,70.11210355994893,-0.21310108403597264,-4.3887617160644234,-2.865859479962893,1.5229022361015305,12.073092077310335
090710,-1.1842920130280277,68.3356655404069,69.51995755343492,-0.19923087615254376,-4.0662263286191465,-2.7760847788380403,1.2901415497811062,11.305666028730599
090720,-15.9752314621091,45.55711036027126,61.53234182238036,-0.3243744207599642,-3.797314785482082,-2.7216686129338257,1.0756461725482565,10.548753096093876
090730,-9.66284549924491,47.03807357351299,56.7009190727579,-0.17147888955834784,-3.575177096257837,-2.6866263393608563,0.8885507568969806,11.734926869783607
090740,-5.783691126944724,48.02538238234081,53.80907350928553,-0.15759710762958856,-3.39446647599086,-2.671623994922953,0.7228424810679068,11.289688970228255
090750,-14.528101280705549,32.016921588227206,46.545022868932755,-0.278164116828933,-3.2509693000007527,-2.6769805960403232,0.5739887039604294,10.818979881023282
090800,-5.689161206743869,38.01128105881695,43.70044226556082,-0.12519126443179526,-3.1386310606185774,-2.689278103089876,0.4493529575287014,12.910186976091609
090810,-12.23972548423301,25.340854039211298,37.58057952344431,-0.24116501252200792,-3.0540693065593207,-2.7158222903222935,0.33824701623702724,11.730822578235916
090820,-6.383710479683426,28.005013803919166,34.38872428360259,-0.22265516281656333,-2.9939057405648555,-2.753251476586996,0.24065426397785927,11.49763370882701
090830,0.6319677237853583,35.336675869280626,34.70470814549527,-0.20413844298039388,-2.9539887206619913,-2.7943206410505326,0.15966807961145868,10.13796815410231
090840,3.679828289350894,40.2244505795216,36.54462229017071,-0.19024639227876583,-2.9307456996533876,-2.8377736156189712,0.09297208403441637,10.13796815410231
090850,4.625563175229921,43.482967053015585,38.857403877785664,-0.17635047336177503,-2.9206676531907236,-2.880355467340067,0.04031218585065677,12.440038679465658
090900,4.53193832726172,45.65531136867824,41.12337304141652,-0.16245068461359022,-2.9213341941315387,-2.9240003578947977,-0.0026661637632590107,9.781720289245555
090910,3.9867785806912153,47.10354091245334,43.116762331762125,-0.1485470244174008,-2.9311122204464333,-2.9702243257060132,-0.03911210525957998,9.669824647316958
090920,-7.809601148973265,31.402360608302224,39.21196175727549,-0.26929148481752446,-2.9489294849487866,-3.020198542958198,-0.07126905800941152,8.579683311469267
